Serial_No,Parliament_Constituency,Party_ID,Constituency_ID,Constituency_Name,Winning_Candidate,Total_Votes,Margin
138,BIKANER(2),369,S202,BIKANER,ARJUN RAM MEGHWAL,566737,55711
202,BILASPUR(5),369,S265,BILASPUR,TOKHAN SAHU,724937,164558
29,BIRBHUM(42),140,S2542,BIRBHUM,SATABDI ROY,717961,197650
198,BISHNUPUR(37),369,S2537,BISHNUPUR,KHAN SAUMITRA,680130,5567
127,BOLANGIR(10),369,S1810,BOLANGIR,SANGEETA KUMARI SINGH DEO,617744,132664
28,BOLPUR(41),140,S2541,BOLPUR,ASIT KUMAR MAL,855633,327253
158,BULANDSHAHR(14),369,S2414,BULANDSHAHR,DR BHOLA SINGH,597310,275134
1,BULDHANA(5),3529,S135,BULDHANA,JADHAV PRATAPRAO GANPATRAO,349867,29479
2,BUXAR(33),1420,S0433,BUXAR,SUDHAKAR SINGH,438345,30091
29,CHALAKUDY(11),742,S1111,CHALAKUDY,BENNY BEHANAN,394171,63754
22,CHAMARAJANAGAR(22),742,S1022,CHAMARAJANAGAR,SUNIL BOSE,751671,188706
36,CHANDAULI(76),1680,S2476,CHANDAULI,BIRENDRA SINGH,474476,21565
97,CHANDIGARH(1),742,U021,CHANDIGARH,MANISH TEWARI,216657,2504
232,CHANDNICHOWK(1),369,U051,CHANDNICHOWK,PRAVEEN KHANDELWAL,516496,89325
43,CHANDRAPUR(13),742,S1313,CHANDRAPUR,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406
210,CHATRA(4),369,S274,CHATRA,KALI CHARAN SINGH,574556,220959
3,CHENNAICENTRAL(4),582,S224,CHENNAICENTRAL,DAYANIDHI MARAN,413848,244689
1,CHENNAINORTH(2),582,S222,CHENNAINORTH,DR.KALANIDHI VEERASWAMY,497333,339222
2,CHENNAISOUTH(3),582,S223,CHENNAISOUTH,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945
228,CHEVELLA(10),369,S2910,CHEVELLA,KONDA VISHWESHWAR REDDY,809882,172897
95,CHHINDWARA(16),369,S1216,CHHINDWARA,BUNTY VIVEK SAHU,644738,113618
47,CHHOTAUDAIPUR(21),369,S0621,CHHOTAUDAIPUR,JASHUBHAI BHILUBHAI RATHVA,796589,398777
2,CHIDAMBARAM(27),1847,S2227,CHIDAMBARAM,THIRUMAAVALAVAN THOL,505084,103554
78,CHIKKBALLAPUR(27),369,S1027,CHIKKBALLAPUR,DR.K.SUDHAKAR,822619,163460
14,CHIKKODI(1),742,S101,CHIKKODI,PRIYANKA SATISH JARKIHOLI,713461,90834
71,CHITRADURGA(18),369,S1018,CHITRADURGA,GOVIND MAKTHAPPA KARJOL,684890,48121
16,CHITTOOR(SC)(25),1745,S0125,CHITTOOR(SC),DAGGUMALLA PRASADA RAO,778071,220479
147,CHITTORGARH(21),369,S2021,CHITTORGARH,CHANDRA PRAKASH JOSHI,888202,389877
63,CHURU(3),742,S203,CHURU,RAHUL KASWAN,728211,72737
16,COIMBATORE(20),582,S2220,COIMBATORE,GANAPATHY RAJKUMAR P,568200,118068
1,COOCHBEHAR(1),140,S251,COOCHBEHAR,JAGADISH CHANDRA BARMA BASUNIA,788375,39250
73,CUDDALORE(26),742,S2226,CUDDALORE,M.K. VISHNUPRASAD,455053,185896
131,CUTTACK(14),369,S1814,CUTTACK,BHARTRUHARI MAHTAB,531601,57077
231,DADAR&NAGARHAVELI(2),369,U032,DADAR&NAGARHAVELI,DELKAR KALABEN MOHANBHAI,121074,57584
45,DAHOD(19),369,S0619,DAHOD,JASWANTSINH SUMANBHAI BHABHOR,688715,333677
70,DAKSHINAKANNADA(17),369,S1017,DAKSHINAKANNADA,CAPTAIN BRIJESH CHOWTA,764132,149208
5,DAMAN&DIU(1),743,U031,DAMAN&DIU,PATEL UMESHBHAI BABUBHAI,42523,6225
86,DAMOH(7),369,S127,DAMOH,RAHUL SINGH LODHI,709768,406426
19,DARBHANGA(14),369,S0414,DARBHANGA,GOPAL JEE THAKUR,566630,178156
189,DARJEELING(4),369,S254,DARJEELING,RAJU BISTA,679331,178525
6,DARRANG-UDALGURI(4),369,S034,DARRANG-UDALGURI,DILIP SAIKIA,868387,329012
67,DAUSA(11),742,S2011,DAUSA,MURARI LAL MEENA,646266,237340
20,DAVANAGERE(13),742,S1013,DAVANAGERE,DR. PRABHA MALLIKARJUN,633059,26094
183,DEORIA(66),369,S2466,DEORIA,SHASHANK MANI,504541,34842
100,DEWAS(21),369,S1221,DEWAS,MAHENDRA SINGH SOLANKY,928941,425225
212,DHANBAD(7),369,S277,DHANBAD,DULU MAHATO,789172,331583
104,DHAR(25),369,S1225,DHAR,SAVITRI THAKUR,794449,218665
8,DHARMAPURI(10),582,S2210,DHARMAPURI,MANI. A.,432667,21300
66,DHARWAD(11),369,S1011,DHARWAD,PRALHAD JOSHI,716231,97324
12,DHAURAHRA(29),1680,S2429,DHAURAHRA,ANAND BHADAURIYA,443743,4449
126,DHENKANAL(9),369,S189,DHENKANAL,RUDRA NARAYAN PANY,598721,76567
1,DHUBRI(2),742,S032,DHUBRI,RAKIBUL HUSSAIN,1471885,1012476
38,DHULE(2),742,S132,DHULE,BACHHAV SHOBHA DINESH,583866,3831
12,DIAMONDHARBOUR(21),140,S2521,DIAMONDHARBOUR,ABHISHEK BANERJEE,1048230,710930
14,DIBRUGARH(13),369,S0313,DIBRUGARH,SARBANANDA SONOWAL,693762,279321
3,DINDIGUL(22),547,S2222,DINDIGUL,SACHITHANANTHAM R,670149,443821
2,DINDORI(20),3620,S1320,DINDORI,BHASKAR MURLIDHAR BHAGARE,577339,113199
8,DIPHU(6),369,S036,DIPHU,AMARSING TISSO,334620,147603
179,DOMARIYAGANJ(60),369,S2460,DOMARIYAGANJ,JAGDAMBIKA PAL,463303,42728
7,DUMDUM(16),140,S2516,DUMDUM,SOUGATA RAY,528579,70660
2,DUMKA(2),852,S272,DUMKA,NALIN SOREN,547370,22527
204,DURG(7),369,S267,DURG,VIJAY BAGHEL,956497,438226
234,EASTDELHI(3),369,U053,EASTDELHI,HARSH MALHOTRA,664819,93663
5,ELURU(10),1745,S0110,ELURU,PUTTA MAHESH KUMAR,746351,181857
30,ERNAKULAM(12),742,S1112,ERNAKULAM,HIBI EDEN,482317,250385
14,ERODE(17),582,S2217,ERODE,K E PRAKASH,562339,236566
8,ETAH(22),1680,S2422,ETAH,DEVESH SHAKYA,475808,28052
16,ETAWAH(41),1680,S2441,ETAWAH,JITENDRA KUMAR DOHARE,490747,58419
23,FAIZABAD(54),1680,S2454,FAIZABAD,AWADHESH PRASAD,554289,54567
57,FARIDABAD(10),369,S0710,FARIDABAD,KRISHAN PAL,788569,172914
4,FARIDKOT(9),743,S199,FARIDKOT,SARABJEET SINGH KHALSA,298062,70053
171,FARRUKHABAD(40),369,S2440,FARRUKHABAD,MUKESH RAJPUT,487963,2678
59,FATEHGARHSAHIB(8),742,S198,FATEHGARHSAHIB,AMAR SINGH,332591,34202
21,FATEHPUR(49),1680,S2449,FATEHPUR,NARESH CHANDRA UTTAM PATEL,500328,33199
163,FATEHPURSIKRI(19),369,S2419,FATEHPURSIKRI,RAJKUMAR CHAHAR,445657,43405
6,FIROZABAD(20),1680,S2420,FIROZABAD,AKSHAYA YADAV,543037,89312
60,FIROZPUR(10),742,S1910,FIROZPUR,SHER SINGH GHUBAYA,266626,3242
42,GADCHIROLI-CHIMUR(12),742,S1312,GADCHIROLI-CHIMUR,DR. KIRSAN NAMDEO,617792,141696
32,GANDHINAGAR(6),369,S066,GANDHINAGAR,AMIT SHAH,1010972,744716
62,GANGANAGAR(1),742,S201,GANGANAGAR,KULDEEP INDORA,726492,88153
218,GARHWAL(2),369,S282,GARHWAL,ANIL BALUNI,432159,163503
157,GAUTAMBUDDHANAGAR(13),369,S2413,GAUTAMBUDDHANAGAR,DR. MAHESH SHARMA,857829,559472
1,GAYA(38),664,S0438,GAYA,JITAN RAM MANJHI,494960,101812
21,GHATAL(32),140,S2532,GHATAL,ADHIKARI DEEPAK (DEV),837990,182868
156,GHAZIABAD(12),369,S2412,GHAZIABAD,ATUL GARG,854170,336965
35,GHAZIPUR(75),1680,S2475,GHAZIPUR,AFZAL ANSARI,539912,124861
30,GHOSI(70),1680,S2470,GHOSI,RAJEEV RAI,503131,162943
1,GIRIDIH(6),160,S276,GIRIDIH,CHANDRA PRAKASH CHOUDHARY,451139,80880
209,GODDA(3),369,S273,GODDA,NISHIKANT DUBEY,693140,101813
178,GONDA(59),369,S2459,GONDA,KIRTIVARDHAN SINGH,474258,46224
7,GOPALGANJ(17),805,S0417,GOPALGANJ,DR. ALOK KUMAR SUMAN,511866,127180
181,GORAKHPUR(64),369,S2464,GORAKHPUR,RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
15,GULBARGA(5),742,S105,GULBARGA,RADHAKRISHNA,652321,27205
83,GUNA(4),369,S124,GUNA,JYOTIRADITYA M. SCINDIA,923302,540929
7,GUNTUR(13),1745,S0113,GUNTUR,DR CHANDRA SEKHAR PEMMASANI,864948,344695
55,GURDASPUR(1),742,S191,GURDASPUR,SUKHJINDER SINGH RANDHAWA,364043,82861
56,GURGAON(9),369,S079,GURGAON,RAO INDERJIT SINGH,808336,75079
7,GUWAHATI(5),369,S035,GUWAHATI,BIJULI KALITA MEDHI,894887,251090
82,GWALIOR(3),369,S123,GWALIOR,BHARAT SINGH KUSHWAH,671535,70210
2,HAJIPUR(21),3165,S0421,HAJIPUR,CHIRAG PASWAN,615718,170105
19,HAMIRPUR(47),1680,S2447,HAMIRPUR,AJENDRA SINGH LODHI,490683,2629
60,HAMIRPUR(3),369,S083,HAMIRPUR,ANURAG SINGH THAKUR,607068,182357
167,HARDOI(31),369,S2431,HARDOI,JAI PRAKASH,486798,27856
221,HARIDWAR(5),369,S285,HARIDWAR,TRIVENDRA SINGH RAWAT,653808,164056
21,HASSAN(16),742,S1016,HASSAN,SHREYAS. M. PATEL,672988,42649
160,HATHRAS(16),369,S2416,HATHRAS,ANOOP PRADHAN BALMIKI,554746,247318
7,HATKANANGALE(48),3529,S1348,HATKANANGALE,DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426
65,HAVERI(10),369,S1010,HAVERI,BASAVARAJ BOMMAI,705538,43513
216,HAZARIBAGH(14),369,S2714,HAZARIBAGH,MANISH JAISWAL,654613,276686
14,HINDUPUR(20),1745,S0120,HINDUPUR,B K PARTHASARATHI,725534,132427
2,HINGOLI(15),3369,S1315,HINGOLI,AASHTIKAR PATIL NAGESH BAPURAO,492535,108602
11,HISAR(4),742,S074,HISAR,JAI PARKASH (J P) S/O HARIKESH,570424,63381
19,HOOGHLY(28),140,S2528,HOOGHLY,RACHNA BANERJEE,702744,76853
96,HOSHANGABAD(17),369,S1217,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,812147,431696
1,HOSHIARPUR(5),1,S195,HOSHIARPUR,DR. RAJ KUMAR CHABBEWAL,303859,44111
16,HOWRAH(25),140,S2525,HOWRAH,PRASUN BANERJEE,626493,169442
1,HYDERABAD(9),118,S299,HYDERABAD,ASADUDDIN OWAISI,661981,338087
31,IDUKKI(13),742,S1113,IDUKKI,ADV. DEAN KURIAKOSE,432372,133727
105,INDORE(26),369,S1226,INDORE,SHANKAR LALWANI,1226751,1175092
50,INNERMANIPUR(1),742,S141,INNERMANIPUR,ANGOMCHA BIMOL AKOIJAM,374017,109801
92,JABALPUR(13),369,S1213,JABALPUR,ASHISH DUBEY,790133,486674
13,JADAVPUR(22),140,S2522,JADAVPUR,SAYANI GHOSH,717899,258201
133,JAGATSINGHPUR(16),369,S1816,JAGATSINGHPUR,BIBHU PRASAD TARAI,589093,40696
3,JAHANABAD(36),1420,S0436,JAHANABAD,SURENDRA PRASAD YADAV,443035,142591
140,JAIPUR(7),369,S207,JAIPUR,MANJU SHARMA,886850,331767
139,JAIPURRURAL(6),369,S206,JAIPURRURAL,RAO RAJENDRA SINGH,617877,1615
125,JAJPUR(8),369,S188,JAJPUR,RABINDRA NARAYAN BEHERA,534239,1587
57,JALANDHAR(4),742,S194,JALANDHAR,CHARANJIT SINGH CHANNI,390053,175993
18,JALAUN(45),1680,S2445,JALAUN,NARAYAN DAS AHIRWAR,530180,53898
109,JALGAON(3),369,S133,JALGAON,SMITA UDAY WAGH,674428,251594
45,JALNA(18),742,S1318,JALNA,KALYAN VAIJINATHRAO KALE,607897,109958
145,JALORE(18),369,S2018,JALORE,LUMBARAM,796783,201543
188,JALPAIGURI(3),369,S253,JALPAIGURI,DR JAYANTA KUMAR ROY,766568,86693
240,JAMMU(5),369,U085,JAMMU,JUGAL KISHORE,687588,135498
38,JAMNAGAR(12),369,S0612,JAMNAGAR,POONAMBEN HEMATBHAI MAADAM,620049,238008
214,JAMSHEDPUR(9),369,S279,JAMSHEDPUR,BIDYUT BARAN MAHATO,726174,259782
5,JAMUI(40),3165,S0440,JAMUI,ARUN BHARTI,509046,112482
2,JANGIPUR(9),140,S259,JANGIPUR,KHALILUR RAHAMAN,544427,116637
201,JANJGIR-CHAMPA(3),369,S263,JANJGIR-CHAMPA,KAMLESH JANGDE,678199,60000
33,JAUNPUR(73),1680,S2473,JAUNPUR,BABU SINGH KUSHWAHA,509130,99335
